Table 11.	
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY BROAD CLASS OF ADMISSION AND REGION AND COUNTRY OF LAST RESIDENCE: FISCAL YEAR 2017	

Region and country of last residence	Total	Immediate relatives of U.S. citizens	Family-sponsored preferences	Employment-based preferences	Diversity	Refugees and asylees	Other	
Burundi	1375	77	6	4	50	1238	-	
Cabo Verde	2590	1188	1392	4	D	3	D	
Cambodia	3922	2860	680	138	231	10	3	
Cameroon	4514	2029	472	48	1503	458	4	
Canada	18469	7128	2035	8751	245	91	219	
Cayman Islands	109	43	20	26	D	D	-	
Central African Republic	65	39	D	D	D	18	-	
Chad	370	34	-	D	D	318	-	
Chile	1664	1042	97	417	15	74	19	
China, People's Republic	66479	26342	14438	17212	24	8302	161	
Colombia	16341	11542	3071	1128	12	484	104	
Congo, Democratic Republic	3987	472	257	37	2858	362	1	
Congo, Republic	404	90	7	11	42	251	3	
Costa Rica	2259	1713	174	271	22	53	26	
Cote d'Ivoire	1655	698	206	20	565	162	4	
Croatia	338	186	29	79	19	25	-	
Cuba	64749	4666	4682	7	382	55004	8	
Curacao	40	19	D	13	-	D	-	
Cyprus	150	75	5	51	14	4	1	
Czechia	573	416	16	91	39	7	4	
Czechoslovakia (former)	78	26	D	42	-	6	D	
Denmark	536	231	26	241	29	6	3	
Djibouti	4069	2549	1223	20	52	225	-	
Dominica	472	283	165	17	4	-	3	
Dominican Republic	58384	27724	30135	314	8	103	100	
Ecuador	10826	5907	3189	558	3	598	571	
Egypt	11166	3803	1222	852	2802	2477	10	
El Salvador	21920	10625	7503	1312	-	1285	1195	
Equatorial Guinea	19	15	D	D	-	D	-	
Eritrea	813	381	35	18	25	353	1	
Estonia	171	119	9	34	8	-	1	
Ethiopia	15678	5925	2086	170	2424	5059	14	
Fiji	752	261	254	15	185	30	7	
Finland	478	172	D	265	29	D	1	
France	4973	2059	217	2341	309	33	14	
French Polynesia	21	14	-	7	-	-	-	
Gabon	166	86	14	8	13	44	1	
Gambia	1112	738	139	20	13	193	9	
Georgia	1509	774	117	70	508	39	1	
Germany	5369	2979	312	1681	308	37	52	
Ghana	8384	5695	1645	222	644	166	12	
Greece	1495	806	132	317	224	14	2	
Grenada	529	383	100	39	D	-	D	
Guatemala	12792	6206	2694	1139	6	1481	1266	
Guinea	1305	685	121	12	262	214	11	
Guinea-Bissau	44	36	D	-	D	D	-	
Guyana	4683	1868	2745	37	D	D	16	
Haiti	21501	11691	9076	255	-	424	55	
Honduras	11147	6494	1908	1103	35	714	893	
Hong Kong	2893	955	1359	521	44	13	1	
Hungary	924	571	36	217	80	17	3	
Iceland	78	34	D	38	D	-	1	
India	57155	19893	13837	21903	53	999	470	
Indonesia	1852	1108	182	276	35	228	23	
Iran	9311	2853	2035	1437	2405	574	7	
Iraq	8932	1160	201	24	132	5027	2388	
Ireland	1685	845	59	740	37	D	D	
Israel	4227	2017	153	1823	113	109	12	
Italy	4055	1978	297	1255	310	196	19	
Jamaica	21517	14510	6012	893	D	D	54	
Japan	5176	3040	213	1709	187	11	16	
Jordan	8219	3191	1736	313	117	2789	73	
Kazakhstan	1098	477	54	86	341	136	4	
Kenya	9810	3455	581	337	1256	4158	23	
Korea, North	13	D	-	-	-	D	-	
Korea, South	18546	6522	1296	10646	24	5	53	
Kosovo	985	478	145	14	286	60	2	
Kuwait	1101	440	197	198	57	203	6	
Kyrgyzstan	697	217	34	29	157	258	2	
Laos	649	505	102	28	D	D	-	
Latvia	344	258	10	47	21	5	3	
Lebanon	2990	1387	842	298	36	425	2	
Lesotho	25	20	-	-	5	-	-	
Liberia	4085	1897	564	39	1390	193	2	
Libya	560	349	15	67	99	30	-	
Lithuania	583	431	34	34	75	5	4	
Luxembourg	44	16	-	25	3	-	-	
Macau	170	33	106	25	6	-	-	
Macedonia	994	530	206	26	221	11	-	
Madagascar	53	28	D	9	13	D	-	
Malawi	428	92	7	13	7	308	1	
Malaysia	13058	1128	277	495	292	10861	5	
Mali	535	333	43	14	30	106	9	
Malta	542	21	D	D	-	509	-	
Marshall Islands	23	D	D	D	-	-	-	
Mauritania	248	116	11	-	9	112	-	
Mauritius	79	44	15	17	3	-	-	
Mexico	168980	113837	34402	5506	9	1080	14146	
Moldova	2213	741	75	76	1028	287	6	
Mongolia	649	301	26	124	123	49	26	
Montenegro	300	203	72	5	10	8	2	
Montserrat	13	13	-	-	-	-	-	
Morocco	4066	2303	338	77	1312	30	6	
Mozambique	133	29	D	3	3	94	D	
Namibia	302	40	6	6	13	237	-	
Nepal	14196	2661	1014	1277	3039	6190	15	
Netherlands	1285	646	66	523	33	11	6	
New Zealand	900	438	81	320	D	D	-	
Nicaragua	3014	1991	747	71	3	81	121	
Niger	110	81	10	11	8	-	-	
Nigeria	13146	9576	2547	811	36	155	21	
Norway	377	226	9	93	32	8	9	
Oman	276	71	42	85	32	43	3	
Pakistan	16488	7235	6574	1762	12	862	43	
Palau	12	12	-	-	-	-	-	
Panama	1021	704	184	83	22	19	9	
Papua New Guinea	14	9	-	D	D	-	-	
Paraguay	364	286	30	22	5	17	4	
Peru	9767	6230	2806	360	6	116	249	
Philippines	46542	24833	13188	7905	D	D	593	
Poland	4592	2851	802	658	242	9	30	
Portugal	910	605	79	199	15	7	5	
Qatar	605	208	66	154	127	50	-	
Romania	2722	1700	233	358	272	147	12	
Russia	8841	4169	546	1852	1533	730	11	
Rwanda	2261	109	43	19	279	1811	-	
Saint Kitts and Nevis	251	162	70	15	-	3	1	
Saint Lucia	767	570	160	26	D	D	D	
Saint Vincent and the Grenadines	335	245	76	10	-	-	4	
Samoa	175	165	6	-	-	D	D	
Saudi Arabia	2948	1233	442	482	657	133	1	
Senegal	1503	1100	176	40	106	71	10	
Serbia	1378	830	120	123	290	15	-	
Serbia and Montenegro (former)	126	69	D	27	-	25	D	
Seychelles	11	11	-	-	-	-	-	
Sierra Leone	1989	1203	258	16	463	47	2	
Singapore	1874	441	171	1226	26	8	2	
Sint Maarten	73	53	D	D	-	-	-	
Slovakia	491	243	8	72	16	149	3	
Slovenia	94	57	D	24	8	D	-	
Somalia	497	171	6	5	18	296	1	
South Africa	3438	1318	156	749	396	813	6	
South Sudan	69	47	D	D	10	7	-	
Soviet Union (former)	542	486	9	10	D	33	D	
Spain	3555	1478	234	1175	169	486	13	
Sri Lanka	1483	507	223	356	188	191	18	
Sudan	2508	580	87	22	1348	469	2	
Suriname	111	72	28	D	-	D	-	
Swaziland	18	8	D	7	-	-	D	
Sweden	1146	570	87	397	69	12	11	
Switzerland	837	300	32	460	33	9	3	
Syria	3010	1165	755	182	47	857	4	
Taiwan	4787	1719	872	2016	172	4	4	
Tajikistan	562	142	18	19	321	54	8	
Tanzania	1970	379	57	69	46	1410	9	
Thailand	9103	3272	289	345	28	5105	64	
Togo	1540	606	146	3	698	78	9	
Tonga	239	170	54	-	14	-	1	
Trinidad and Tobago	3108	2155	694	190	21	20	28	
Tunisia	524	328	18	33	90	53	2	
Turkey	9144	2038	222	1206	1234	4385	59	
Turkmenistan	199	80	13	16	73	17	-	
Turks and Caicos Islands	52	31	7	12	-	-	2	
Uganda	3760	734	156	111	140	2610	9	
Ukraine	9942	4189	1012	988	1963	1770	20	
United Arab Emirates	3247	917	597	989	384	267	93	
United Kingdom	13318	6413	1023	5607	225	28	22	
Uruguay	952	742	31	109	10	32	28	
Uzbekistan	3841	710	584	90	2330	119	8	
Venezuela	11465	5550	766	2950	1162	1001	36	
Vietnam	37541	17391	18850	1212	D	D	56	
Virgin Islands, British	60	32	17	8	D	-	D	
Yemen	656	443	117	14	15	65	2	
Zambia	723	258	23	40	15	385	2	
Zimbabwe	862	367	34	79	46	334	2	
All other countries 1	74	45	6	18	D	D	1	
Unknown	20761	10241	3940	2537	758	1295	1990	
D Data withheld to limit disclosure.	
- Represents zero.	
1 Includes countries with fewer than 10 lawful permanent residents.	
Source: U.S. Department of Homeland Security.	
