Table 10.	
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY BROAD CLASS OF ADMISSION AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2017	

Region and country of birth	Total	Immediate relatives of U.S. citizens	Family-sponsored preferences	Employment-based preferences	Diversity	Refugees and asylees	Other	
Burundi	1094	92	13	7	80	902	-	
Cabo Verde	2618	1203	1405	4	D	3	D	
Cambodia	4056	2938	731	139	231	10	7	
Cameroon	4668	2088	507	78	1559	432	4	
Canada	11484	5687	644	4793	54	65	241	
Cayman Islands	67	25	D	15	D	17	-	
Central African Republic	178	46	D	D	7	117	-	
Chad	205	35	-	D	D	150	-	
Chile	1625	1067	80	382	5	72	19	
China, People's Republic	71565	27683	15773	19221	19	8700	169	
Colombia	17956	12324	3417	1275	9	821	110	
Congo, Democratic Republic	8709	527	279	41	2989	4872	1	
Congo, Republic	632	88	10	6	58	466	4	
Costa Rica	2184	1703	151	236	18	49	27	
Cote d'Ivoire	1810	762	204	21	623	193	7	
Croatia	375	209	33	92	21	20	-	
Cuba	65028	4752	4743	12	396	55117	8	
Curacao	34	15	10	D	D	D	-	
Cyprus	117	68	D	35	D	D	-	
Czechia	582	419	12	111	30	5	5	
Czechoslovakia (former)	52	27	D	18	-	4	D	
Denmark	461	215	D	216	22	D	1	
Djibouti	222	27	D	D	36	142	-	
Dominica	510	302	184	19	3	-	2	
Dominican Republic	58520	27844	30147	314	3	105	107	
Ecuador	10594	5957	3215	569	D	D	602	
Egypt	9834	3524	1133	952	2918	1298	9	
El Salvador	25109	13063	7764	1349	D	D	1614	
Equatorial Guinea	20	15	-	-	-	5	-	
Eritrea	2449	757	266	22	106	1298	-	
Estonia	176	117	7	42	9	-	1	
Ethiopia	14637	6256	2301	209	2608	3247	16	
Fiji	805	279	278	17	191	32	8	
Finland	439	166	6	245	22	-	-	
France	4782	2007	153	2334	253	29	6	
French Polynesia	20	14	D	D	-	-	-	
Gabon	150	93	16	8	13	19	1	
Gambia	1134	759	141	17	14	192	11	
Georgia	1629	824	132	89	534	48	2	
Germany	4662	2622	173	1546	267	34	20	
Ghana	8455	5782	1654	244	677	84	14	
Greece	1314	748	74	348	135	7	2	
Grenada	544	394	106	36	3	-	5	
Guatemala	13198	6294	2700	1184	7	1513	1500	
Guinea	1348	721	125	11	286	192	13	
Guinea-Bissau	48	38	7	D	D	D	-	
Guyana	5468	2175	3213	47	D	D	16	
Haiti	21824	11923	9139	254	-	454	54	
Honduras	11387	6636	1920	1137	36	737	921	
Hong Kong	2415	700	993	677	36	8	1	
Hungary	972	585	37	242	86	19	3	
Iceland	86	34	3	42	6	-	1	
India	60394	20549	14962	23569	40	795	479	
Indonesia	1914	1177	203	334	42	137	21	
Iran	13791	3128	2366	2049	2583	3656	9	
Iraq	14203	1594	325	58	173	9536	2517	
Ireland	1485	849	38	565	29	3	1	
Israel	3802	1915	126	1642	70	35	14	
Italy	3655	1786	177	1284	221	182	5	
Jamaica	21905	14694	6150	957	D	D	54	
Japan	4635	2733	187	1541	158	7	9	
Jordan	5264	2945	1554	296	114	333	22	
Kazakhstan	1377	562	83	183	402	142	5	
Kenya	6957	3119	527	361	1290	1637	23	
Korea, North	32	14	D	D	-	D	1	
Korea, South	19194	6439	1374	11315	7	5	54	
Kosovo	1014	497	147	15	303	48	4	
Kuwait	1177	433	251	242	45	201	5	
Kyrgyzstan	715	254	43	54	194	168	2	
Laos	685	526	111	32	-	16	-	
Latvia	359	259	17	57	19	4	3	
Lebanon	2818	1462	850	363	65	76	2	
Lesotho	24	17	-	D	D	-	-	
Liberia	4155	1856	577	39	1394	287	2	
Libya	780	434	26	106	148	62	4	
Lithuania	645	453	44	55	83	6	4	
Luxembourg	33	14	D	16	D	-	-	
Macau	109	D	53	30	D	-	-	
Macedonia	1027	544	210	35	229	9	-	
Madagascar	60	28	D	17	11	D	-	
Malawi	228	91	5	20	7	104	1	
Malaysia	4109	698	183	478	54	2693	3	
Mali	544	338	42	16	33	105	10	
Malta	75	18	D	8	-	48	-	
Marshall Islands	23	D	D	D	-	-	-	
Mauritania	287	122	19	5	14	127	-	
Mauritius	96	51	14	26	5	-	-	
Mexico	170581	114431	34413	5493	6	1056	15182	
Moldova	2480	773	87	122	1206	286	6	
Monaco	14	5	-	9	-	-	-	
Mongolia	661	311	30	125	120	49	26	
Montenegro	323	209	82	7	15	8	2	
Montserrat	12	12	-	-	-	-	-	
Morocco	4229	2371	354	131	1346	19	8	
Mozambique	96	35	4	13	4	38	2	
Namibia	130	43	3	7	7	69	1	
Nepal	11610	2684	1064	1355	3205	3287	15	
Netherlands	1056	612	31	376	22	13	2	
New Zealand	798	420	D	249	98	D	-	
Nicaragua	3072	2028	756	80	3	81	124	
Niger	116	86	10	11	9	-	-	
Nigeria	13539	9741	2631	979	15	150	23	
Norway	290	202	4	69	10	4	1	
Oman	104	34	12	33	11	12	2	
Pakistan	17408	7483	6858	2250	8	763	46	
Palau	13	13	-	-	-	-	-	
Panama	889	658	156	49	D	16	D	
Papua New Guinea	18	11	-	D	D	-	-	
Paraguay	391	306	32	28	3	17	5	
Peru	10115	6445	2875	411	4	115	265	
Philippines	49147	25684	13495	9341	5	22	600	
Poland	4845	2939	828	787	249	12	30	
Portugal	939	617	69	228	14	5	6	
Qatar	224	87	24	64	36	13	-	
Romania	2953	1809	251	538	286	57	12	
Russia	8918	4284	520	1944	1556	603	11	
Rwanda	1394	99	32	19	219	1024	1	
Saint Kitts and Nevis	238	161	70	D	-	D	-	
Saint Lucia	777	572	163	30	6	D	D	
Saint Vincent and the Grenadines	361	265	78	14	-	-	4	
Samoa	194	184	7	D	-	-	D	
Sao Tome and Principe	10	D	D	-	-	-	1	
Saudi Arabia	2135	878	334	404	327	189	3	
Senegal	1470	1069	164	53	112	61	11	
Serbia	1410	851	112	148	279	20	-	
Serbia and Montenegro (former)	144	78	D	27	-	34	D	
Seychelles	10	10	-	-	-	-	-	
Sierra Leone	2058	1235	265	20	465	70	3	
Singapore	818	312	66	427	D	D	-	
Sint Maarten	35	31	-	4	-	-	-	
Slovakia	388	254	10	98	21	D	D	
Slovenia	108	63	D	29	12	D	-	
Somalia	7404	1706	256	10	85	5344	3	
South Africa	2912	1277	120	860	288	361	6	
South Sudan	160	108	17	3	8	24	-	
Soviet Union (former)	939	554	11	170	4	196	4	
Spain	3045	1290	106	1076	117	450	6	
Sri Lanka	1627	541	249	460	213	146	18	
Sudan	3515	597	85	23	1609	1200	1	
Suriname	136	79	47	D	-	D	-	
Swaziland	19	6	D	7	D	D	2	
Sweden	950	514	32	345	53	4	2	
Switzerland	565	270	18	235	34	6	2	
Syria	5877	1808	1253	264	151	2390	11	
Taiwan	4858	1712	796	2170	175	D	D	
Tajikistan	652	158	28	30	362	70	4	
Tanzania	1415	383	68	84	45	825	10	
Thailand	6311	3283	295	348	20	2304	61	
Togo	1572	622	153	7	697	83	10	
Tonga	262	180	65	-	15	-	2	
Trinidad and Tobago	3100	2149	690	211	D	D	29	
Tunisia	535	346	17	61	94	16	1	
Turkey	4844	1965	177	1260	1254	172	16	
Turkmenistan	251	96	21	19	94	21	-	
Turks and Caicos Islands	35	26	D	5	-	-	D	
Uganda	1898	589	131	112	147	910	9	
Ukraine	10135	4249	1029	1151	2030	1656	20	
United Arab Emirates	1314	389	238	412	121	128	26	
United Kingdom	10948	5948	560	4319	81	22	18	
United States	409	298	D	39	D	23	34	
Uruguay	1001	760	46	122	12	33	28	
Uzbekistan	4095	787	610	152	2379	157	10	
Venezuela	11809	5507	773	3237	1251	1001	40	
Vietnam	38231	17515	19218	1364	4	73	57	
Virgin Islands, British	25	17	7	-	-	-	1	
Yemen	6029	3936	1637	46	275	132	3	
Zambia	537	271	27	58	19	160	2	
Zimbabwe	810	409	54	150	62	133	2	
All other countries1	68	47	5	12	4	-	-	
Unknown	1468	907	408	43	26	47	37	
D Data withheld to limit disclosure.	
- Represents zero.	
1 Includes countries with fewer than 10 lawful permanent residents.	
Source: U.S. Department of Homeland Security.	
