Table 6.	
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY TYPE AND MAJOR CLASS OF ADMISSION: FISCAL YEARS 2008 TO 2017	

Type and class of admission	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	
Other	4831	2422	1486	1435	1326	913	957	782	565	758	
ADJUSTMENTS OF STATUS	
Total	640568	667776	566576	580092	547559	530802	535126	542315	565427	549086	
Immediate relatives of U.S. citizens	251090	309073	252842	243174	239986	232105	228128	230194	257302	252231	
Spouses	191197	242123	189460	178868	182276	167211	162049	158768	171353	177473	
Children 1	25465	28586	22750	20288	18285	16519	15603	16074	17438	16749	
Parents	34428	38364	40632	44018	39425	48375	50476	55352	68511	58009	
Family-sponsored preferences	56899	39787	26279	28346	18560	26415	23202	16783	15116	13478	
First: Unmarried sons/daughters of U.S. citizens and their children	5650	5112	3922	3343	2750	2538	2296	2503	1952	1929	
Second: Spouses, children, and unmarried sons/daughters of alien residents	41881	24597	11716	11985	8692	6520	11784	6950	6751	5846	
Third: Married sons/daughters of U.S. citizens and their spouses and children	3811	3306	4465	3085	2453	1829	1851	2510	2073	2093	
Fourth: Brothers/sisters of U.S. citizens (at least 21 years of age) and their spouses and children	5557	6772	6176	9933	4665	15528	7271	4820	4340	3610	
Employment-based preferences	149527	127121	136010	124384	126016	140009	129645	121978	113640	113330	
First: Priority workers	35082	39420	39070	23605	37799	37283	38813	39924	40445	38496	
Second: Professionals with advanced degrees or aliens of exceptional ability	68832	44336	52388	65140	49414	60956	46872	42531	36448	36217	
Third: Skilled workers, professionals, and unskilled workers	38981	33525	34433	29757	31208	34937	35588	29648	26878	29377	
Fourth: Certain special immigrants	6301	8855	9384	5306	6644	5602	6933	8890	8478	7610	
Fifth: Employment creation (investors)	331	985	735	576	951	1231	1439	985	1391	1630	
Diversity	1440	1277	1571	1617	1356	1505	1331	1268	1048	918	
Refugees	90030	118836	92741	113045	105528	77395	96066	118431	120216	120356	
Asylees	76362	58532	43550	55415	45086	42235	38176	33564	37209	25647	
Parolees	1169	2385	1592	1146	753	554	94	23	15	26	
Children born abroad to alien residents	-	-	-	-	-	-	-	-	-	-	
Certain Iraqis and Afghans employed by U.S. Government and their spouses and children	-	7	12	8	21	6	5	25	15	46	
Cancellation of removal	11128	8156	8180	7430	6818	5763	5248	4713	3453	3539	
Victims of human trafficking	NA	766	511	479	470	608	1149	970	1069	1317	
Victims of crimes and their spouses and children	NA	12	2165	4159	2161	3712	11665	14112	16148	17993	
Other	2923	1824	1123	889	804	495	417	254	196	205	
NEW ARRIVALS	
Total	466558	463042	476049	481948	484072	459751	481392	508716	618078	578081	
Immediate relatives of U.S. citizens	237393	226481	223572	209984	238794	207355	188328	234874	309404	264277	
Spouses	74474	75006	82449	79452	91153	81121	76803	106599	133005	115436	
Children 1	75877	69684	65547	60023	62836	54863	45614	50666	71056	58240	
Parents	87042	81791	75576	70509	84805	71371	65911	77609	105343	90601	
Family-sponsored preferences	170862	172072	188310	206585	183459	183888	205902	197127	222971	218760	
First: Unmarried sons/daughters of U.S. citizens and their children	20523	18853	23076	23956	17910	21820	23390	22030	20120	24290	
Second: Spouses, children, and unmarried sons/daughters of alien residents	61575	73970	80372	96633	91017	92595	93857	97942	114516	107654	
Third: Married sons/daughters of U.S. citizens and their spouses and children	25462	22624	28352	24619	19299	19465	23979	21761	25319	21167	
Fourth: Brothers/sisters of U.S. citizens (at least 21 years of age) and their spouses and children	63302	56625	56510	61377	55233	50008	64676	55394	63016	65649	
Employment-based preferences	15214	13782	12333	14955	17982	21101	21951	22069	24253	24525	
First: Priority workers	1596	1504	1985	1646	1517	1695	1741	1764	2417	2564	
Second: Professionals with advanced degrees or aliens of exceptional ability	1214	1216	1558	1691	1545	2070	1929	1813	2410	3114	
Third: Skilled workers, professionals, and unskilled workers	9922	6873	5329	7459	8021	8695	7568	7595	9055	8706	
Fourth: Certain special immigrants	1453	1486	1716	1395	1222	1329	1429	1694	1899	1894	
Fifth: Employment creation (investors)	1029	2703	1745	2764	5677	7312	9284	9203	8472	8247	
Diversity	40321	46602	48192	48486	38964	44113	52159	46666	48817	50674	
Refugees	-	-	-	-	-	-	-	-	-	-	
Asylees	-	-	-	-	-	-	-	-	-	-	
Parolees	-	-	-	-	-	-	-	-	-	-	
Children born abroad to alien residents	637	587	716	633	643	643	594	403	92	75	
Certain Iraqis and Afghans employed by U.S. Government and their spouses and children	223	2920	2563	759	3674	2189	11868	7023	12136	19145	
Cancellation of removal	-	-	-	-	-	-	-	-	-	-	
Victims of human trafficking	NA	-	-	-	-	-	-	-	-	-	
Victims of crimes and their spouses and children	NA	-	-	-	34	44	50	26	36	72	
Other	1908	598	363	546	522	418	540	528	369	553	
NA Not available.	
- Represents zero.	
1 Includes orphans.	
Source: U.S. Department of Homeland Security.	
