Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Region
Germany,67,54,12,7,5,4,7,8,3,3,12,Europe
United Kingdom,"1,511","1,353",842,887,"1,070","1,104","1,288","1,537","1,412","1,160",678,Europe
Greece,1,1,0,0,1,0,1,2,2,16,12,Europe
Hungary,30,10,3,0,26,37,40,36,52,68,60,Europe
Iceland,1,0,0,0,0,0,0,1,0,0,0,Europe
Ireland,65,58,39,39,75,145,209,258,187,298,243,Europe
Italy,40,24,14,2,5,1,7,15,24,19,29,Europe
Kazakhstan,0,2,0,0,0,0,0,0,0,0,0,Europe
Kosovo,,0,0,0,0,1,0,0,0,0,0,Europe
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,Europe
Latvia,5,2,0,0,1,0,0,1,1,0,2,Europe
Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,Europe
Lithuania,41,22,3,13,19,28,57,66,73,135,140,Europe
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,Europe
Macedonia,11,7,10,0,7,20,17,12,12,8,14,Europe
Malta,0,0,0,0,0,0,0,0,0,0,0,Europe
Moldova,247,271,22,42,30,40,59,121,83,5,1,Europe
Monaco,0,0,0,0,0,0,0,0,0,0,0,Europe
Montenegro,,0,0,0,0,1,1,1,3,9,3,Europe
Netherlands,45,29,8,10,18,23,20,24,19,36,8,Europe
Norway,6,4,1,0,1,1,2,3,1,1,2,Europe
Poland,268,151,45,46,34,23,40,53,73,206,41,Europe
Portugal,9,19,1,3,3,2,2,8,9,16,39,Europe
Romania,"1,720","2,008",323,295,281,317,301,471,361,670,311,Europe
Russia,18,11,3,8,8,0,12,23,7,3,6,Europe
San Marino,0,0,0,0,0,0,0,0,0,0,0,Europe
Serbia,,0,122,140,180,163,123,152,177,564,238,Europe
Serbia and Montenegro,403,383,13,0,0,0,,,,,,Europe
Slovakia,109,118,24,11,30,39,47,78,46,80,55,Europe
Slovenia,21,25,8,11,8,4,4,11,5,5,4,Europe
Spain,22,27,10,3,7,4,12,52,58,34,25,Europe
Sweden,79,55,9,7,5,1,2,16,16,11,0,Europe
Switzerland,10,15,2,3,1,1,2,2,3,1,1,Europe
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,Europe
Turkey,115,273,97,36,24,12,23,67,75,40,40,Europe
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,Europe
Ukraine,365,244,101,70,20,23,82,123,55,643,295,Europe
Uzbekistan,8,6,4,0,0,0,0,0,0,0,0,Europe
Vatican City,0,0,0,0,0,0,0,0,0,0,0,Europe
Antigua and Barbuda,5,0,0,1,3,5,7,7,2,6,2,North America
Bahamas,0,1,0,0,0,0,0,0,0,0,0,North America
Barbados,181,134,61,0,1,2,3,3,0,14,3,North America
Belize,203,271,188,130,77,91,83,118,172,276,287,North America
Canada,2,2,2,0,2,1,1,0,1,4,2,North America
Costa Rica,579,453,225,308,300,202,289,255,166,290,233,North America
Cuba,3,0,0,0,0,0,0,0,0,0,0,North America
Dominica,2,0,0,0,0,0,0,0,0,0,0,North America
Dominican Republic,534,325,228,179,151,179,102,145,143,181,124,North America
El Salvador,521,767,308,443,448,442,489,549,541,572,626,North America
Grenada,11,0,0,1,0,1,0,0,0,0,1,North America
Guatemala,"1,834","3,779","2,428","2,850","2,907","2,568","3,004","3,304","2,754","3,654","3,808",North America
Haiti,4,3,154,0,0,1,0,6,1,0,1,North America
Honduras,333,680,414,317,252,307,457,637,650,828,889,North America
Jamaica,"4,638","8,461","3,161","3,469","4,874","4,919","5,569","6,152","7,199","9,570","7,728",North America
Mexico,"33,472","60,541","30,006","33,375","36,179","36,341","41,883","50,045","51,301","61,128","64,305",North America
Nicaragua,148,147,67,53,77,88,85,106,95,101,111,North America
Panama,57,61,33,32,56,40,34,64,40,75,63,North America
Saint Kitts and Nevis,1,0,0,0,0,0,0,0,0,0,0,North America
Saint Lucia,40,114,4,0,0,0,0,0,0,0,0,North America
Saint Vincent and the Grenadines,2,0,1,0,0,0,0,0,0,0,0,North America
Trinidad and Tobago,200,124,0,0,0,0,0,0,0,0,0,North America
Australia,"1,006",949,243,189,180,69,37,46,58,36,38,Oceania
Fiji,1,1,0,0,0,0,0,0,0,0,31,Oceania
Kiribati,0,0,0,0,0,2,0,2,0,0,0,Oceania
Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,Oceania
"Micronesia, Federated States",0,0,0,0,0,0,0,0,0,0,0,Oceania
Nauru,0,0,0,0,0,0,0,0,0,0,0,Oceania
New Zealand,304,356,134,114,139,40,32,50,36,34,29,Oceania
Palau,0,0,0,0,0,0,0,0,0,0,0,Oceania
Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,Oceania
Samoa,0,1,0,0,0,0,0,0,0,0,0,Oceania
Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,Oceania
Tonga,0,0,0,0,0,0,0,0,0,0,0,Oceania
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,Oceania
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,Oceania
Argentina,619,555,199,133,93,59,52,75,81,43,34,South America
Bolivia,171,334,172,5,5,1,0,3,0,0,0,South America
Brazil,687,774,254,119,79,36,39,35,50,90,108,South America
Chile,166,265,150,132,66,35,19,16,33,54,16,South America
Colombia,133,105,22,0,0,0,5,6,1,42,79,South America
Ecuador,57,13,6,6,10,6,12,9,7,13,16,South America
Guyana,4,3,1,0,0,0,0,0,0,0,0,South America
Paraguay,8,14,0,0,0,0,0,0,0,0,0,South America
Peru,267,285,39,16,48,20,5,12,23,20,29,South America
Suriname,0,0,0,0,0,0,0,0,0,0,0,South America
Uruguay,47,10,2,1,0,0,0,2,0,1,0,South America
Venezuela,418,26,1,0,0,0,1,0,0,0,0,South America
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
