Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Region
Belgium,243,175,163,167,225,195,159,157,162,140,103,Europe
Bosnia and Herzegovina,69,47,45,33,30,32,30,35,29,22,27,Europe
Bulgaria,529,411,382,376,352,330,265,233,204,163,115,Europe
Croatia,133,84,85,78,70,70,74,68,58,61,42,Europe
Cyprus,74,65,52,53,43,49,40,40,37,36,34,Europe
Czech Republic,162,127,124,119,122,125,94,79,86,62,60,Europe
Denmark,208,153,119,157,182,146,130,133,81,80,64,Europe
Estonia,44,29,30,16,29,21,22,18,16,19,13,Europe
Finland,103,76,70,101,126,95,86,86,82,62,62,Europe
France,"2,190","1,770","1,662","1,951","2,069","1,855","1,782","1,709","1,594","1,479","1,207",Europe
Georgia,68,48,50,51,50,40,27,25,40,31,24,Europe
Germany,"2,100","1,674","1,523","1,639","1,627","1,446","1,274","1,213","1,091","1,061",865,Europe
United Kingdom,"4,475","3,082","2,901","3,553","3,660","3,019","2,699","2,509","2,111","1,769","1,477",Europe
Greece,338,324,289,293,334,318,374,341,338,364,316,Europe
Hungary,186,192,154,150,156,160,147,139,113,122,68,Europe
Iceland,39,23,44,42,42,41,49,33,36,25,21,Europe
Ireland,633,477,454,616,671,699,694,651,597,549,437,Europe
Italy,974,865,867,"1,068","1,095","1,165","1,086","1,030",971,896,803,Europe
Kazakhstan,76,61,43,61,72,76,72,64,68,55,52,Europe
Kosovo,0,2,12,16,11,14,12,15,16,11,11,Europe
Kyrgyzstan,22,23,24,29,16,21,23,24,15,11,7,Europe
Latvia,54,51,41,38,41,52,42,29,32,24,20,Europe
Liechtenstein,0,0,1,0,2,1,3,1,0,3,0,Europe
Lithuania,118,85,71,92,70,60,59,47,37,29,21,Europe
Luxembourg,8,1,3,2,7,8,3,6,9,6,4,Europe
Macedonia,33,31,30,31,26,38,36,31,25,27,20,Europe
Malta,8,6,3,7,4,7,5,6,4,4,2,Europe
Moldova,79,64,56,71,73,56,49,33,39,31,26,Europe
Monaco,1,1,1,0,1,3,1,1,2,0,1,Europe
Montenegro,0,5,7,10,17,20,11,14,15,14,19,Europe
Netherlands,516,344,344,405,437,374,289,287,259,252,222,Europe
Norway,120,94,82,95,98,86,62,68,56,56,61,Europe
Poland,541,417,377,379,372,389,308,287,252,207,196,Europe
Portugal,162,149,127,187,192,207,185,168,188,157,114,Europe
Romania,603,500,419,415,411,381,327,291,227,196,147,Europe
Russia,"1,150",752,695,692,883,914,878,735,690,672,542,Europe
San Marino,0,1,0,0,1,0,1,1,0,0,0,Europe
Serbia,0,12,125,212,224,248,229,214,193,169,136,Europe
Serbia and Montenegro,343,266,114,22,0,0,0,0,0,0,0,Europe
Slovakia,169,133,86,101,114,82,84,80,68,49,52,Europe
Slovenia,31,22,32,17,22,26,28,33,29,24,27,Europe
Spain,879,775,776,809,962,885,888,977,891,809,748,Europe
Sweden,422,323,293,320,339,360,266,242,221,202,151,Europe
Switzerland,330,229,222,234,268,233,163,167,176,162,135,Europe
Tajikistan,6,9,11,13,8,15,8,14,12,9,8,Europe
Turkey,"1,606","1,362","1,466","1,421","1,332","1,168","1,080","1,040",902,731,560,Europe
Turkmenistan,10,22,19,20,24,22,23,11,14,4,7,Europe
Ukraine,307,271,220,292,352,393,349,311,326,277,256,Europe
Uzbekistan,38,41,43,64,48,58,46,45,39,31,24,Europe
Vatican City,0,0,0,0,0,0,0,0,0,0,0,Europe
Antigua and Barbuda,17,12,9,12,10,8,8,5,4,10,8,North America
Bahamas,176,170,122,140,142,134,118,113,104,102,99,North America
Barbados,95,61,77,51,58,59,37,27,36,32,19,North America
Belize,26,29,25,27,25,23,28,17,9,20,15,North America
Canada,42,39,45,39,88,51,51,44,71,67,109,North America
Costa Rica,166,136,123,150,122,149,117,92,97,96,88,North America
Cuba,3,2,2,2,3,2,4,2,4,3,8,North America
Dominica,27,25,19,27,15,20,21,12,10,15,6,North America
Dominican Republic,192,160,182,145,186,155,157,132,125,137,92,North America
El Salvador,77,84,62,78,87,68,79,81,72,63,54,North America
Grenada,39,21,21,35,24,22,26,26,18,20,15,North America
Guatemala,110,85,94,70,83,81,80,76,87,84,49,North America
Haiti,33,25,22,22,30,15,9,17,10,8,10,North America
Honduras,98,90,90,89,111,105,99,88,98,84,71,North America
Jamaica,541,471,489,386,362,282,240,185,153,143,122,North America
Mexico,"2,905","2,421","2,190","2,494","2,647","3,543","3,686","3,243","2,894","2,540","2,322",North America
Nicaragua,39,31,32,49,29,41,39,36,26,22,24,North America
Panama,156,106,102,114,79,70,68,41,56,38,31,North America
Saint Kitts and Nevis,13,11,17,14,9,16,11,10,5,5,5,North America
Saint Lucia,22,27,25,16,27,18,18,21,17,16,13,North America
Saint Vincent and the Grenadines,9,14,14,12,11,8,13,5,6,8,10,North America
Trinidad and Tobago,320,301,276,259,243,240,196,177,158,124,90,North America
Australia,695,482,442,495,537,427,416,424,373,412,384,Oceania
Fiji,2,3,6,6,9,3,1,3,4,2,3,Oceania
Kiribati,1,0,0,0,0,0,0,1,3,0,0,Oceania
Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,Oceania
"Micronesia, Federated States",0,0,0,0,0,0,0,0,0,0,0,Oceania
Nauru,0,0,0,0,0,0,0,0,0,0,0,Oceania
New Zealand,344,238,232,255,290,251,197,253,199,157,130,Oceania
Palau,0,0,0,0,0,0,0,0,0,0,0,Oceania
Papua New Guinea,1,0,1,0,0,0,2,1,0,0,0,Oceania
Samoa,0,0,1,0,0,0,0,0,0,0,0,Oceania
Solomon Islands,0,1,0,0,0,0,0,0,0,0,0,Oceania
Tonga,0,1,2,0,0,0,0,0,0,0,0,Oceania
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,Oceania
Vanuatu,0,0,0,0,0,1,0,0,1,0,0,Oceania
Argentina,"1,185",859,753,727,675,525,487,434,399,336,255,South America
Bolivia,127,105,130,110,108,89,77,74,80,60,45,South America
Brazil,"1,938","1,483","1,466","1,613","1,614","1,583","1,451","1,352","1,258","1,253","1,113",South America
Chile,269,204,204,255,199,209,187,156,164,136,137,South America
Colombia,"1,631","1,199","1,181","1,114",934,904,787,714,718,633,524,South America
Ecuador,324,279,236,231,197,218,202,150,150,127,128,South America
Guyana,53,39,45,36,26,26,14,14,9,7,8,South America
Paraguay,35,35,35,36,33,26,22,22,22,16,22,South America
Peru,755,546,497,539,457,376,361,291,274,232,203,South America
Suriname,7,2,6,5,4,6,5,4,3,5,5,South America
Uruguay,110,83,81,68,77,64,56,58,51,40,28,South America
Venezuela,"1,282",954,770,911,910,847,750,664,529,494,345,South America
World,"154,053","129,464","110,367","117,409","129,134","135,530","153,223","161,369","172,748","180,057","179,049",World
