Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Barbados,95,61,77,51,58,59,37,27,36,32,19
Belize,26,29,25,27,25,23,28,17,9,20,15
Canada,42,39,45,39,88,51,51,44,71,67,109
Costa Rica,166,136,123,150,122,149,117,92,97,96,88
Cuba,3,2,2,2,3,2,4,2,4,3,8
Dominica,27,25,19,27,15,20,21,12,10,15,6
Dominican Republic,192,160,182,145,186,155,157,132,125,137,92
El Salvador,77,84,62,78,87,68,79,81,72,63,54
Grenada,39,21,21,35,24,22,26,26,18,20,15
Guatemala,110,85,94,70,83,81,80,76,87,84,49
Haiti,33,25,22,22,30,15,9,17,10,8,10
Honduras,98,90,90,89,111,105,99,88,98,84,71
Jamaica,541,471,489,386,362,282,240,185,153,143,122
Mexico,"2,905","2,421","2,190","2,494","2,647","3,543","3,686","3,243","2,894","2,540","2,322"
Nicaragua,39,31,32,49,29,41,39,36,26,22,24
Panama,156,106,102,114,79,70,68,41,56,38,31
Saint Kitts and Nevis,13,11,17,14,9,16,11,10,5,5,5
Saint Lucia,22,27,25,16,27,18,18,21,17,16,13
Saint Vincent and the Grenadines,9,14,14,12,11,8,13,5,6,8,10
Trinidad and Tobago,320,301,276,259,243,240,196,177,158,124,90
Australia,695,482,442,495,537,427,416,424,373,412,384
Fiji,2,3,6,6,9,3,1,3,4,2,3
Kiribati,1,0,0,0,0,0,0,1,3,0,0
Marshall Islands,0,0,0,0,0,0,0,0,0,0,0
"Micronesia, Federated States",0,0,0,0,0,0,0,0,0,0,0
Nauru,0,0,0,0,0,0,0,0,0,0,0
New Zealand,344,238,232,255,290,251,197,253,199,157,130
Palau,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,1,0,1,0,0,0,2,1,0,0,0
Samoa,0,0,1,0,0,0,0,0,0,0,0
Solomon Islands,0,1,0,0,0,0,0,0,0,0,0
Tonga,0,1,2,0,0,0,0,0,0,0,0
Tuvalu,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,1,0,0,1,0,0
Argentina,"1,185",859,753,727,675,525,487,434,399,336,255
Bolivia,127,105,130,110,108,89,77,74,80,60,45
Brazil,"1,938","1,483","1,466","1,613","1,614","1,583","1,451","1,352","1,258","1,253","1,113"
Chile,269,204,204,255,199,209,187,156,164,136,137
Colombia,"1,631","1,199","1,181","1,114",934,904,787,714,718,633,524
Ecuador,324,279,236,231,197,218,202,150,150,127,128
Guyana,53,39,45,36,26,26,14,14,9,7,8
Paraguay,35,35,35,36,33,26,22,22,22,16,22
Peru,755,546,497,539,457,376,361,291,274,232,203
Suriname,7,2,6,5,4,6,5,4,3,5,5
Uruguay,110,83,81,68,77,64,56,58,51,40,28
Venezuela,"1,282",954,770,911,910,847,750,664,529,494,345
